technode, 10, toggleindex, 4, mem cell type, 4, buffernumber, 1, toggle index, 4, Totalsubarray operations, 646432, Average macro dynamic energy, 2.24009e-10, 1 Macro delay, 4.94051e-09, 1 Macro area (mm^2), 0.0786432, TOPS, 6.63252, TOPS/W, 146.28, TOPS/mm^2, 84.3368, FOM, 12336.8, Total macro leakage, 8.55037e-06, Total DCIM (NOR+Latch) array leakage, 2.646e-06, SRAM_peri_leakage, 9.34467e-08, ShiftAdd_leakage, 1.347e-07, Adder_leakage, 5.17948e-06, Buffer_leakage, 5.13866e-08, Switchmatrix_leakage, 3.42577e-08, Repeater_leakage, 4.11093e-07, Bus_leakage, 1.94841e-07, readDynamicEnergyBuffer, 3.5658e-13, readDynamicEnergyShiftAdd, 1.52059e-12, readDynamicEnergyAccum, 3.92187e-11, readDynamicEnergySwitchmatrix, 2.05476e-12, readDynamicEnergyAdder, 3.73415e-11, readDynamicEnergyInterconnect, 1.47288e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 5.943e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 5.83093e-12, addertree_delay, 8.59184e-10, addedbufferlatency, 8.13042e-11, encoder_delay, 0, WL_delay, 4.17826e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 9.88102e-10, param->capNORInput, 2.92647e-16, param->capNOROutput, 2.2512e-17, param->DCIMline_R2, 490.7, param->DCIMline_R1, 78.3471, param->DCIMline_C2, 2.40505e-15, param->DCIMline_C1, 1.55459e-15, param->resRow_DCIM, 4.08058e+07, param->resCol_DCIM, 1.58691e+07, param->Metal0_unitwireresis, 4.08058e+07, param->Metal1_unitwireresis, 1.58691e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.00012288, TOPS, 6.63252, TOPS/W, 146.28, TOPS/mm^2, 84.3368, FOM, 12336.8, buffersizeratio, 18, switchsizeratio_DCIM, 0.02, sectionresistance, 3714.22, switchmatrix_finnum, 18, finfetonresistance, 354.76, repeaterfinnum, 18, repeaterdriveres, 1482.89, sizingfactor_MUX, 80, sizingfactor_MUX_Last, 80, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 372696, 
technode, 7, toggleindex, 4, mem cell type, 4, buffernumber, 3, toggle index, 4, Totalsubarray operations, 646432, Average macro dynamic energy, 2.0388e-10, 1 Macro delay, 4.39814e-09, 1 Macro area (mm^2), 0.0516661, TOPS, 7.45042, TOPS/W, 160.722, TOPS/mm^2, 144.203, FOM, 23176.6, Total macro leakage, 1.04328e-05, Total DCIM (NOR+Latch) array leakage, 3.17567e-06, SRAM_peri_leakage, 8.91539e-08, ShiftAdd_leakage, 1.45261e-07, Adder_leakage, 5.29754e-06, Buffer_leakage, 5.70523e-08, Switchmatrix_leakage, 3.80349e-08, Repeater_leakage, 1.63007e-06, Bus_leakage, 2.16323e-07, readDynamicEnergyBuffer, 3.15191e-13, readDynamicEnergyShiftAdd, 1.35681e-12, readDynamicEnergyAccum, 3.41249e-11, readDynamicEnergySwitchmatrix, 1.51014e-12, readDynamicEnergyAdder, 3.24529e-11, readDynamicEnergyInterconnect, 1.5335e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 5.25318e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 5.26421e-12, addertree_delay, 7.82824e-10, addedbufferlatency, 7.4403e-11, encoder_delay, 0, WL_delay, 1.71367e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 8.79628e-10, param->capNORInput, 3.01491e-16, param->capNOROutput, 1.67919e-17, param->DCIMline_R2, 558.254, param->DCIMline_R1, 89.1331, param->DCIMline_C2, 2.14198e-15, param->DCIMline_C1, 1.54796e-15, param->resRow_DCIM, 5.2125e+07, param->resCol_DCIM, 2.43152e+07, param->Metal0_unitwireresis, 5.2125e+07, param->Metal1_unitwireresis, 2.43152e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.000109439, TOPS, 7.45042, TOPS/W, 160.722, TOPS/mm^2, 144.203, FOM, 23176.6, buffersizeratio, 20, switchsizeratio_DCIM, 0.04, sectionresistance, 2112.78, switchmatrix_finnum, 14, finfetonresistance, 415.703, repeaterfinnum, 20, repeaterdriveres, 1193.07, sizingfactor_MUX, 60, sizingfactor_MUX_Last, 60, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 579993, 
technode, 5, toggleindex, 4, mem cell type, 4, buffernumber, 3, toggle index, 4, Totalsubarray operations, 646432, Average macro dynamic energy, 1.68782e-10, 1 Macro delay, 3.78108e-09, 1 Macro area (mm^2), 0.0345568, TOPS, 8.66631, TOPS/W, 194.144, TOPS/mm^2, 250.785, FOM, 48688.5, Total macro leakage, 9.71527e-06, Total DCIM (NOR+Latch) array leakage, 2.98343e-06, SRAM_peri_leakage, 8.53826e-08, ShiftAdd_leakage, 1.40484e-07, Adder_leakage, 5.24803e-06, Buffer_leakage, 5.44677e-08, Switchmatrix_leakage, 3.63118e-08, Repeater_leakage, 1.16716e-06, Bus_leakage, 2.06523e-07, readDynamicEnergyBuffer, 2.54771e-13, readDynamicEnergyShiftAdd, 1.11147e-12, readDynamicEnergyAccum, 2.85543e-11, readDynamicEnergySwitchmatrix, 1.54089e-12, readDynamicEnergyAdder, 2.71881e-11, readDynamicEnergyInterconnect, 1.21002e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 4.24618e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 4.26451e-12, addertree_delay, 6.4292e-10, addedbufferlatency, 9.02752e-11, encoder_delay, 0, WL_delay, 1.87556e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 7.56216e-10, param->capNORInput, 2.45577e-16, param->capNOROutput, 1.1067e-17, param->DCIMline_R2, 1060.48, param->DCIMline_R1, 169.32, param->DCIMline_C2, 1.91652e-15, param->DCIMline_C1, 1.28831e-15, param->resRow_DCIM, 1.10667e+08, param->resCol_DCIM, 8.61592e+07, param->Metal0_unitwireresis, 1.10667e+08, param->Metal1_unitwireresis, 8.61592e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 9.792e-05, TOPS, 8.66631, TOPS/W, 194.144, TOPS/mm^2, 250.785, FOM, 48688.5, buffersizeratio, 15, switchsizeratio_DCIM, 0.015, sectionresistance, 4013.5, switchmatrix_finnum, 19, finfetonresistance, 300.407, repeaterfinnum, 15, repeaterdriveres, 1598.16, sizingfactor_MUX, 50, sizingfactor_MUX_Last, 50, switchmatrixsizeratio_ACIM, 0.06, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 835025, 
technode, 3, toggleindex, 4, mem cell type, 4, buffernumber, 7, toggle index, 4, Totalsubarray operations, 646432, Average macro dynamic energy, 1.5634e-10, 1 Macro delay, 3.23835e-09, 1 Macro area (mm^2), 0.0263526, TOPS, 10.1187, TOPS/W, 209.594, TOPS/mm^2, 383.975, FOM, 80478.9, Total macro leakage, 1.07606e-05, Total DCIM (NOR+Latch) array leakage, 3.1869e-06, SRAM_peri_leakage, 8.86929e-08, ShiftAdd_leakage, 1.41098e-07, Adder_leakage, 5.00048e-06, Buffer_leakage, 5.62422e-08, Switchmatrix_leakage, 3.74948e-08, Repeater_leakage, 2.24969e-06, Bus_leakage, 2.13252e-07, readDynamicEnergyBuffer, 2.25708e-13, readDynamicEnergyShiftAdd, 9.7178e-13, readDynamicEnergyAccum, 2.49212e-11, readDynamicEnergySwitchmatrix, 9.15041e-13, readDynamicEnergyAdder, 2.37237e-11, readDynamicEnergyInterconnect, 1.32489e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 3.7618e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 3.64313e-12, addertree_delay, 5.44517e-10, addedbufferlatency, 9.07912e-11, encoder_delay, 0, WL_delay, 8.71856e-12, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 6.4767e-10, param->capNORInput, 2.17716e-16, param->capNOROutput, 9.6e-18, param->DCIMline_R2, 1816.31, param->DCIMline_R1, 290, param->DCIMline_C2, 1.80379e-15, param->DCIMline_C1, 1.15886e-15, param->resRow_DCIM, 2.01389e+08, param->resCol_DCIM, 9.72656e+07, param->Metal0_unitwireresis, 2.01389e+08, param->Metal1_unitwireresis, 9.72656e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 9.216e-05, TOPS, 10.1187, TOPS/W, 209.594, TOPS/mm^2, 383.975, FOM, 80478.9, buffersizeratio, 12, switchsizeratio_DCIM, 0.03, sectionresistance, 3437.02, switchmatrix_finnum, 11, finfetonresistance, 491.114, repeaterfinnum, 12, repeaterdriveres, 1926.8, sizingfactor_MUX, 25, sizingfactor_MUX_Last, 25, switchmatrixsizeratio_ACIM, 0.03, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 1.18426e+06, 
technode, 2, toggleindex, 4, mem cell type, 4, buffernumber, 7, toggle index, 4, Totalsubarray operations, 646432, Average macro dynamic energy, 8.7265e-11, 1 Macro delay, 2.16895e-09, 1 Macro area (mm^2), 0.0186653, TOPS, 15.1077, TOPS/W, 375.5, TOPS/mm^2, 809.403, FOM, 303931, Total macro leakage, 7.68688e-06, Total DCIM (NOR+Latch) array leakage, 2.08532e-06, SRAM_peri_leakage, 5.6362e-08, ShiftAdd_leakage, 7.31101e-08, Adder_leakage, 3.86176e-06, Buffer_leakage, 2.19208e-08, Switchmatrix_leakage, 1.46139e-08, Repeater_leakage, 1.5738e-06, Bus_leakage, 8.31165e-08, readDynamicEnergyBuffer, 1.05875e-13, readDynamicEnergyShiftAdd, 4.27715e-13, readDynamicEnergyAccum, 1.06336e-11, readDynamicEnergySwitchmatrix, 5.14662e-13, readDynamicEnergyAdder, 1.01e-11, readDynamicEnergyInterconnect, 1.0668e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 1.76458e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 2.30136e-12, addertree_delay, 3.35157e-10, addedbufferlatency, 8.51627e-11, encoder_delay, 0, WL_delay, 1.11695e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 4.33791e-10, param->capNORInput, 1.5948e-16, param->capNOROutput, 1.1779e-17, param->DCIMline_R2, 2608.16, param->DCIMline_R1, 416.43, param->DCIMline_C2, 1.57831e-15, param->DCIMline_C1, 8.8992e-16, param->resRow_DCIM, 3.305e+08, param->resCol_DCIM, 2.49905e+08, param->Metal0_unitwireresis, 3.305e+08, param->Metal1_unitwireresis, 2.49905e+08, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 8.064e-05, TOPS, 15.1077, TOPS/W, 375.5, TOPS/mm^2, 809.403, FOM, 303931, buffersizeratio, 10, switchsizeratio_DCIM, 0.03, sectionresistance, 4935.45, switchmatrix_finnum, 7, finfetonresistance, 699.38, repeaterfinnum, 10, repeaterdriveres, 1938.68, sizingfactor_MUX, 25, sizingfactor_MUX_Last, 25, switchmatrixsizeratio_ACIM, 0.1, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 1.39341e+06, 
technode, 1, toggleindex, 4, mem cell type, 4, buffernumber, 7, toggle index, 4, Totalsubarray operations, 646432, Average macro dynamic energy, 6.40491e-11, 1 Macro delay, 1.98549e-09, 1 Macro area (mm^2), 0.0126369, TOPS, 16.5037, TOPS/W, 511.607, TOPS/mm^2, 1305.99, FOM, 668156, Total macro leakage, 1.04162e-05, Total DCIM (NOR+Latch) array leakage, 4.0523e-06, SRAM_peri_leakage, 9.21516e-08, ShiftAdd_leakage, 1.03959e-07, Adder_leakage, 3.62128e-06, Buffer_leakage, 4.17966e-08, Switchmatrix_leakage, 2.78644e-08, Repeater_leakage, 2.47684e-06, Bus_leakage, 1.58479e-07, readDynamicEnergyBuffer, 9.91254e-14, readDynamicEnergyShiftAdd, 3.70139e-13, readDynamicEnergyAccum, 7.52274e-12, readDynamicEnergySwitchmatrix, 4.37366e-13, readDynamicEnergyAdder, 7.05348e-12, readDynamicEnergyInterconnect, 8.05217e-12, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 1.65209e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 2.05915e-12, addertree_delay, 2.99398e-10, addedbufferlatency, 8.49287e-11, encoder_delay, 0, WL_delay, 1.07124e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 3.97099e-10, param->capNORInput, 1.3388e-16, param->capNOROutput, 8.63124e-18, param->DCIMline_R2, 3080.69, param->DCIMline_R1, 491.875, param->DCIMline_C2, 1.50316e-15, param->DCIMline_C1, 7.7552e-16, param->resRow_DCIM, 4.09896e+08, param->resCol_DCIM, 3.305e+08, param->Metal0_unitwireresis, 4.09896e+08, param->Metal1_unitwireresis, 3.305e+08, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 7.68e-05, TOPS, 16.5037, TOPS/W, 511.607, TOPS/mm^2, 1305.99, FOM, 668156, buffersizeratio, 10, switchsizeratio_DCIM, 0.024, sectionresistance, 5829.61, switchmatrix_finnum, 8, finfetonresistance, 635.536, repeaterfinnum, 10, repeaterdriveres, 2084.56, sizingfactor_MUX, 30, sizingfactor_MUX_Last, 30, switchmatrixsizeratio_ACIM, 0.1, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 1.65016e+06, 
technode, 22, toggleindex, 5, mem cell type, 4, buffernumber, 0, toggle index, 5, Totalsubarray operations, 646432, Average macro dynamic energy, 6.63456e-10, 1 Macro delay, 5.72495e-09, 1 Macro area (mm^2), 0.190279, TOPS, 5.72371, TOPS/W, 49.3899, TOPS/mm^2, 30.0806, FOM, 1485.68, Total macro leakage, 1.19255e-05, Total DCIM (NOR+Latch) array leakage, 7.92986e-07, SRAM_peri_leakage, 5.70213e-08, ShiftAdd_leakage, 1.47495e-07, Adder_leakage, 1.08836e-05, Buffer_leakage, 2.66482e-08, Switchmatrix_leakage, 1.77654e-08, Repeater_leakage, 0, Bus_leakage, 1.01041e-07, readDynamicEnergyBuffer, 5.41805e-13, readDynamicEnergyShiftAdd, 3.38695e-12, readDynamicEnergyAccum, 1.37072e-10, readDynamicEnergySwitchmatrix, 2.97095e-12, readDynamicEnergyAdder, 1.33144e-10, readDynamicEnergyInterconnect, 2.58206e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 9.03008e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 7.37137e-12, addertree_delay, 1.08867e-09, addedbufferlatency, 0, encoder_delay, 0, WL_delay, 4.89464e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 1.14499e-09, param->capNORInput, 2.2892e-16, param->capNOROutput, 1.16131e-16, param->DCIMline_R2, 153.463, param->DCIMline_R1, 24.5025, param->DCIMline_C2, 3.1416e-15, param->DCIMline_C1, 1.41728e-15, param->resRow_DCIM, 9.76974e+06, param->resCol_DCIM, 9.76974e+06, param->Metal0_unitwireresis, 9.76974e+06, param->Metal1_unitwireresis, 9.76974e+06, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.000160512, TOPS, 5.72371, TOPS/W, 49.3899, TOPS/mm^2, 30.0806, FOM, 1485.68, buffersizeratio, 5, switchsizeratio_DCIM, 0.06, sectionresistance, 2323.19, switchmatrix_finnum, 17.5009, finfetonresistance, 139.391, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 110, sizingfactor_MUX_Last, 110, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 14, capratio, -nan. Power Density (W/mm2), 393706, 
technode, 14, toggleindex, 5, mem cell type, 4, buffernumber, 0, toggle index, 5, Totalsubarray operations, 646432, Average macro dynamic energy, 3.54067e-10, 1 Macro delay, 5.62229e-09, 1 Macro area (mm^2), 0.167273, TOPS, 5.82823, TOPS/W, 92.5473, TOPS/mm^2, 34.8427, FOM, 3224.6, Total macro leakage, 7.68182e-06, Total DCIM (NOR+Latch) array leakage, 2.12151e-06, SRAM_peri_leakage, 8.11032e-08, ShiftAdd_leakage, 1.26223e-07, Adder_leakage, 5.27673e-06, Buffer_leakage, 4.57474e-08, Switchmatrix_leakage, 3.04983e-08, Repeater_leakage, 0, Bus_leakage, 1.73459e-07, readDynamicEnergyBuffer, 4.32756e-13, readDynamicEnergyShiftAdd, 1.87897e-12, readDynamicEnergyAccum, 5.27735e-11, readDynamicEnergySwitchmatrix, 1.23522e-11, readDynamicEnergyAdder, 5.04618e-11, readDynamicEnergyInterconnect, 2.33911e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 7.2126e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 7.12177e-12, addertree_delay, 1.04795e-09, addedbufferlatency, 0, encoder_delay, 0, WL_delay, 6.93859e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 1.12446e-09, param->capNORInput, 3.11448e-16, param->capNOROutput, 2.49581e-17, param->DCIMline_R2, 232.557, param->DCIMline_R1, 37.1309, param->DCIMline_C2, 2.93093e-15, param->DCIMline_C1, 1.71376e-15, param->resRow_DCIM, 1.58691e+07, param->resCol_DCIM, 1.06838e+07, param->Metal0_unitwireresis, 1.58691e+07, param->Metal1_unitwireresis, 1.06838e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.000149748, TOPS, 5.82823, TOPS/W, 92.5473, TOPS/mm^2, 34.8427, FOM, 3224.6, buffersizeratio, 0, switchsizeratio_DCIM, 0.005, sectionresistance, 3520.55, switchmatrix_finnum, 84, finfetonresistance, 86.9847, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 130, sizingfactor_MUX_Last, 130, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 243372, 
technode, 10, toggleindex, 5, mem cell type, 4, buffernumber, 1, toggle index, 5, Totalsubarray operations, 646432, Average macro dynamic energy, 2.61248e-10, 1 Macro delay, 4.94051e-09, 1 Macro area (mm^2), 0.0786432, TOPS, 6.63252, TOPS/W, 125.429, TOPS/mm^2, 84.3368, FOM, 10578.3, Total macro leakage, 8.55037e-06, Total DCIM (NOR+Latch) array leakage, 2.646e-06, SRAM_peri_leakage, 9.34467e-08, ShiftAdd_leakage, 1.347e-07, Adder_leakage, 5.17948e-06, Buffer_leakage, 5.13866e-08, Switchmatrix_leakage, 3.42577e-08, Repeater_leakage, 4.11093e-07, Bus_leakage, 1.94841e-07, readDynamicEnergyBuffer, 3.5658e-13, readDynamicEnergyShiftAdd, 1.52059e-12, readDynamicEnergyAccum, 4.30923e-11, readDynamicEnergySwitchmatrix, 2.5812e-12, readDynamicEnergyAdder, 4.12152e-11, readDynamicEnergyInterconnect, 1.96384e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 5.943e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 5.83093e-12, addertree_delay, 8.59184e-10, addedbufferlatency, 8.13042e-11, encoder_delay, 0, WL_delay, 4.17826e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 9.88102e-10, param->capNORInput, 2.92647e-16, param->capNOROutput, 2.2512e-17, param->DCIMline_R2, 490.7, param->DCIMline_R1, 78.3471, param->DCIMline_C2, 2.40505e-15, param->DCIMline_C1, 1.55459e-15, param->resRow_DCIM, 4.08058e+07, param->resCol_DCIM, 1.58691e+07, param->Metal0_unitwireresis, 4.08058e+07, param->Metal1_unitwireresis, 1.58691e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.00012288, TOPS, 6.63252, TOPS/W, 125.429, TOPS/mm^2, 84.3368, FOM, 10578.3, buffersizeratio, 18, switchsizeratio_DCIM, 0.02, sectionresistance, 3714.22, switchmatrix_finnum, 18, finfetonresistance, 354.76, repeaterfinnum, 18, repeaterdriveres, 1482.89, sizingfactor_MUX, 80, sizingfactor_MUX_Last, 80, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 434653, 
technode, 7, toggleindex, 5, mem cell type, 4, buffernumber, 3, toggle index, 5, Totalsubarray operations, 646432, Average macro dynamic energy, 2.39686e-10, 1 Macro delay, 4.39814e-09, 1 Macro area (mm^2), 0.0516661, TOPS, 7.45042, TOPS/W, 136.712, TOPS/mm^2, 144.203, FOM, 19714.3, Total macro leakage, 1.04328e-05, Total DCIM (NOR+Latch) array leakage, 3.17567e-06, SRAM_peri_leakage, 8.91539e-08, ShiftAdd_leakage, 1.45261e-07, Adder_leakage, 5.29754e-06, Buffer_leakage, 5.70523e-08, Switchmatrix_leakage, 3.80349e-08, Repeater_leakage, 1.63007e-06, Bus_leakage, 2.16323e-07, readDynamicEnergyBuffer, 3.15191e-13, readDynamicEnergyShiftAdd, 1.35681e-12, readDynamicEnergyAccum, 3.76014e-11, readDynamicEnergySwitchmatrix, 1.87343e-12, readDynamicEnergyAdder, 3.59294e-11, readDynamicEnergyInterconnect, 2.04467e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 5.25318e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 5.26421e-12, addertree_delay, 7.82824e-10, addedbufferlatency, 7.4403e-11, encoder_delay, 0, WL_delay, 1.71367e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 8.79628e-10, param->capNORInput, 3.01491e-16, param->capNOROutput, 1.67919e-17, param->DCIMline_R2, 558.254, param->DCIMline_R1, 89.1331, param->DCIMline_C2, 2.14198e-15, param->DCIMline_C1, 1.54796e-15, param->resRow_DCIM, 5.2125e+07, param->resCol_DCIM, 2.43152e+07, param->Metal0_unitwireresis, 5.2125e+07, param->Metal1_unitwireresis, 2.43152e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.000109439, TOPS, 7.45042, TOPS/W, 136.712, TOPS/mm^2, 144.203, FOM, 19714.3, buffersizeratio, 20, switchsizeratio_DCIM, 0.04, sectionresistance, 2112.78, switchmatrix_finnum, 14, finfetonresistance, 415.703, repeaterfinnum, 20, repeaterdriveres, 1193.07, sizingfactor_MUX, 60, sizingfactor_MUX_Last, 60, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 681853, 
technode, 5, toggleindex, 5, mem cell type, 4, buffernumber, 3, toggle index, 5, Totalsubarray operations, 646432, Average macro dynamic energy, 1.97514e-10, 1 Macro delay, 3.78108e-09, 1 Macro area (mm^2), 0.0345568, TOPS, 8.66631, TOPS/W, 165.902, TOPS/mm^2, 250.785, FOM, 41605.8, Total macro leakage, 9.71527e-06, Total DCIM (NOR+Latch) array leakage, 2.98343e-06, SRAM_peri_leakage, 8.53826e-08, ShiftAdd_leakage, 1.40484e-07, Adder_leakage, 5.24803e-06, Buffer_leakage, 5.44677e-08, Switchmatrix_leakage, 3.63118e-08, Repeater_leakage, 1.16716e-06, Bus_leakage, 2.06523e-07, readDynamicEnergyBuffer, 2.54771e-13, readDynamicEnergyShiftAdd, 1.11147e-12, readDynamicEnergyAccum, 3.13036e-11, readDynamicEnergySwitchmatrix, 1.94129e-12, readDynamicEnergyAdder, 2.99374e-11, readDynamicEnergyInterconnect, 1.61336e-11, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 4.24618e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 4.26451e-12, addertree_delay, 6.4292e-10, addedbufferlatency, 9.02752e-11, encoder_delay, 0, WL_delay, 1.87556e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 7.56216e-10, param->capNORInput, 2.45577e-16, param->capNOROutput, 1.1067e-17, param->DCIMline_R2, 1060.48, param->DCIMline_R1, 169.32, param->DCIMline_C2, 1.91652e-15, param->DCIMline_C1, 1.28831e-15, param->resRow_DCIM, 1.10667e+08, param->resCol_DCIM, 8.61592e+07, param->Metal0_unitwireresis, 1.10667e+08, param->Metal1_unitwireresis, 8.61592e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 9.792e-05, TOPS, 8.66631, TOPS/W, 165.902, TOPS/mm^2, 250.785, FOM, 41605.8, buffersizeratio, 15, switchsizeratio_DCIM, 0.015, sectionresistance, 4013.5, switchmatrix_finnum, 19, finfetonresistance, 300.407, repeaterfinnum, 15, repeaterdriveres, 1598.16, sizingfactor_MUX, 50, sizingfactor_MUX_Last, 50, switchmatrixsizeratio_ACIM, 0.06, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 977174, 
